#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
opinion_independent;Broke Vassal Contract;Casser le serment vassalique;Vasallen-Vertrag gebrochen;;Broke Vassal Contract;;;;;;;;;x
opinion_fired_from_office;Fired from Office;Renvoyer du Conseil;Gefeuert;;Fired from Office;;;;;;;;;x
title_legitimize_bastard;Legitimize;Légitimer;Legitimieren;;Legitimar;;;;;;;;;x
title_legitimize_bastard_desc;Declare that this character is a legitimate child and not a bastard after all...;Declare that this character is a legitimate child and not a bastard after all...;Declare that this character is a legitimate child and not a bastard after all...;;Declare that this character is a legitimate child and not a bastard after all...;;;;;;;;;x
title_concubine;Concubine;Concubine;Konkubine;;Concubine;;;;;;;;;x
title_concubine_desc;Muslim rulers kept harems of multiple women to ensure the continuation of their line. Concubines will bear the ruler's legitimate children.;Les souverains musulmans ont des harems avec de nombreuses femmes pour assurer la continuité de leur succession. Les concubines donneront naissance aux enfants légitimes du souverain. ;Moslems hatten Harems von vielen Frauen, um die Verlängerung ihrer Linie zu sichern. Konkubinen werden die legitimen Kinder des Herrschers gebären.;;Muslim rulers kept harems of multiple women to ensure the continuation of their line. Concubines will bear the ruler's legitimate children.;;;;;;;;;x
title_revoke_minor_title;Revoke Honorary Title;Révoquer le Titre Honorifique.;Ehrentitel aberkennen;;Revoke Honorary Title;;;;;;;;;x
title_revoke_minor_title_desc;Revoke this character's honorary title and the prestige and income that goes along with it. This will anger them.;Révoquer le tire honorifique de cette personne, avec le prestige et et les revenus qui vont avec.. Cela risque de le mettre en colère.;Widerrufen Sie den Ehrentitel dieses Charakters und das Prestige und Einkommen, das zusammen damit geht. Das wird sie ärgern.;;Revoke this character's honorary title and the prestige and income that goes along with it. This will anger them.;;;;;;;;;x
title_revoke_court_jester;Revoke Honorary Title;Révoquer le Titre Honorifique.;Ehrentitel aberkennen;;Revoke Honorary Title;;;;;;;;;x
title_revoke_court_jester_desc;Revoke this character's honorary title.;Révoquer le titre honorifique de cette personne.;Ehrentitel aberkannt;;Revoke this character's honorary title.;;;;;;;;;x
title_grant_independence;Grant Independence;Octroyer l'indépendance.;Unabhängigkeit gewähren;;Grant Independence;;;;;;;;;x
title_grant_independence_desc;Break our vassal contract with this character. This will cost us some prestige and greatly damage our mutual relations.;Briser le serment vassalique avec cette personne. Cela vous coûtera du prestige et déteriorera grandement vos relations mutuelles. ;Brechen Sie unseren Vasall-Vertrag mit diesem Charakter. Das wird uns etwas Prestige kosten und außerordentlich unsere gegenseitigen Beziehungen beschädigen.;;Break our vassal contract with this character. This will cost us some prestige and greatly damage our mutual relations.;;;;;;;;;x
AWARD_HONORARY_TITLE_INTERACTION_TITLE;Decisions;Décisions.;Entschlüsse;;Decisions;;;;;;;;;x
AWARD_HONORARY_TITLE_INTERACTION_DESC;Take a decision regarding this character.;Prendre une décision concernant ce personnage.;Treffen Sie einen Entschluss bezüglich dieses Charakters.;;Take a decision regarding this character.;;;;;;;;;x
AWARD_HONORARY_TITLE_INTERACTION_LONG_DESC;This opens the character decision submenu, where you can take any decisions not listed in the diplomacy menu. This includes awarding and revoking honorary titles, granting vassals independence, and other such choices.;Cela ouvre le sous-menu de décisions du personnage, où vous pouver prendre toutes les décisions absentes du menu diplomatique. Cela inclus l'octroi ou la révocation de titres honorifiques,  l'octroi d'indépendance à un vassal, et d'autres choix similaires. ;Das öffnet das Charakter-Entschlussmenü, wo Sie weitere (im Diplomatie-Menü nicht verzeichnete) Entschlüsse treffen können. Das schließt Verleihung und Widerrufen von Ehrentiteln ein, Vasall-Unabhängigkeit, und anderes.;;This opens the character decision submenu, where you can take any decisions not listed in the diplomacy menu. This includes awarding and revoking honorary titles, granting vassals independence, and other such choices.;;;;;;;;;x
AWARD_HONORARY_TITLE_INTERACTION_0;Select a decision to take for §Y[Recipient.GetTitledFirstName]§W.;Sélectionner une décision pour §Y[Recipient.GetTitledFirstName]§W.;Wählen Sie einen Entschluss für §Y[Recipient.GetTitledFirstName]§W aus.;;Select a decision to take for §Y[Recipient.GetTitledFirstName]§W.;;;;;;;;;x
AWARD_HONORARY_TITLE_INTERACTION_1;This will change §Y[Recipient.GetTitledFirstName]§W's opinion of you by $OPINION$.;Cela changera l'opinion que §Y[Recipient.GetTitledFirstName]§W a de vous de $OPINION$.;Dies wird die Meinung von §Y[Recipient.GetTitledFirstName]§W um $OPINION$ ändern.;;This will change §Y[Recipient.GetTitledFirstName]§W's opinion of you by $OPINION$.;;;;;;;;;x
AWARD_HONORARY_TITLE_INTERACTION_ACCEPT_SETUP;Character Decision;Décision du personnage.;Charakter-Entschlüsse;;Character Decision;;;;;;;;;x
AWARD_HONORARY_TITLE_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§W took the decision §Y[ThirdPartyTitle.GetFullName]§W for §Y[Recipient.GetBestName]§W;§Y[Actor.GetBestName]§W prend la décision de §Y[ThirdPartyTitle.GetFullName]§W pour §Y[Recipient.GetBestName]§W;§Y[Actor.GetBestName]§W traf den Entschluss §Y[ThirdPartyTitle.GetFullName]§W bezüglich §Y[Recipient.GetBestName]§W.;;§Y[Actor.GetBestName]§W took the decision §Y[ThirdPartyTitle.GetFullName]§W for §Y[Recipient.GetBestName]§W.;;;;;;;;;x
INTERACTION_REQUIRES_VALID_MINOR_TITLES;We have any decisions to take for [Recipient.GetBestName].;nous avons n'importe quelles décisions à prendre pour [Recipient.GetBestName].;Wir können einen Entschluss für [Recipient.GetBestName] treffen.;;We have any decisions to take for [Recipient.GetBestName].;;;;;;;;;x
