#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTNAME777796;The Úlfhéðnar;L'Úlfhéðnar;The Úlfhéðnar;;The Úlfhéðnar;;;;;;;;;x
EVTDESC777796;A Pagan religious order, the Úlfhéðnar, have risen in the north. A fierce collection of soldiers, nobles, and priests have forged this militant religious band from amongst the remnants of those still faithful to the Norse Gods.;Un ordre religieux païen, l'Úlfhéðnar, est apparu dans le nord. Un ramassi de féroces soldats, nobles, et prêtres ont forgé ce groupe religieux et militaire avec ce qu'il reste des fidèles des Dieux nordiques. ;Ein Heidnische religiöser Orden, der Úlfhéðnar, hat sich im Norden erhoben. Eine wilde Sammlung von Soldaten, Edelmännern, und Priestern hat dieses militante religiöse Band aus den Resten derjenigen geschmiedet, die noch den skandinavischen Göttern treu sind.;;;;;;;;;x;;
EVTOPTA777796;Great Odin's Raven!;Par le grand Corbeau d'Odin!;Great Odin's Raven!;;Great Odin's Raven!;;;;;;;;;x
EVTOPTB777796;I see.;Je vois.;Ich verstehe;;I see.;;;;;;;;;x
EVTNAME777797;The Devotees of the True Prophet;Les Dévôts du Vrai Prophète;Die Anhänger des Wahren Propheten.;;The Devotees of the True Prophet;;;;;;;;;x
EVTDESC777797;A Muslim religious order, the Devoted of the True Prophet, have risen in the East. Formed as a response to increasingly agressive Christian incursions into Muslim land, the Devotees have sworn to expel the invaders at all costs.;Un ordre religieux musulman, les dévôts du Vrai prophète, est apparu en Orient. Formé en réponse aux incursions chrétiennes de plus en plus aggressives en Terre d'Islam, les dévôts ont juré d'expulser les envahisseurs à n'importe quel prix.  ;Ein moslemisch religiöser Orden, die Ergebenen vom Wahren Prpheten, hat sich im Osten erhoben. Gebildet als eine Antwort auf zunehmend agressive christliche Einfälle ins moslemische Land haben die Anhänger geschworen, die Eindringlinge um jeden Preis zu vertreiben.;;;;;;;;;x;;
EVTOPTA777797;We will drive the Christians into the sea!;Nous allons repousser les Chrétiens à la mer! ;Wir werden die Christen ins Meer werfen!;;We will drive the Christians into the sea!;;;;;;;;;x
EVTOPTB777797;I see.;Je vois.;Ich verstehe;;I see.;;;;;;;;;x
EVTNAME777799;The Templars - Germany;Les Templiers - Allemagne;Die Templer - Deutschland;;The Templars - Germany;;;;;;;;;x
EVTDESC777799;The Knights Templar, now rich and powerful, have spread across all of Christiandom. They have established a new enclave in the Holy Roman Empire.;Les Chevaliers du Temple, désormais riches et puissants, ont essaimé à travers toute la Chrétienté. Ils ont établis une nouvelle enclave dans le Saint Empire Romain.;Die Tempelritter , jetzt reich und mächtig, haben sich über das gesamte Christenreich ausgebreitet. Sie haben eine neue Enklave in Heiligem Römischem Reich gegründet.;;;;;;;;;x;;
EVTOPTA777799;Deus Volt!;Deus Volt!;Deus Volt!;;Deus Volt!;;;;;;;;;x
EVTOPTB777799;I see.;Je vois.;Ich verstehe;;I see.;;;;;;;;;x
EVTNAME777800;The Templars - Italy;Les Templiers - Italie;Die Templer -Italien;;The Templars - Italy;;;;;;;;;x
EVTDESC777800;The Knights Templar, now rich and powerful, have spread across all of Christiandom. They have established a new enclave in Italy.;Les Chevaliers du Temple, désormais riches et puissants, ont essaimé à travers toute la Chrétienté. Ils ont établis une nouvelle enclave en Italie.;Die Tempelritter , jetzt reich und mächtig, haben sich über das gesamte Christenreich ausgebreitet. Sie haben eine neue Enklave in Italien gegründet.;;;;;;;;;x;;
EVTOPTA777800;Deus Volt!;Deus Volt!;Deus Volt!;;Deus Volt!;;;;;;;;;x
EVTOPTB777800;I see.;Je vois.;Ich verstehe;;I see.;;;;;;;;;x
EVTNAME7777801;The Teutonic Order - Baltic;L'Ordre Teutonique - Baltique;The Teutonic Order - Baltic;;The Teutonic Order - Baltic;;;;;;;;;x
EVTDESC7777801;The Teutonic Order have established a new enclave in the Baltic. Their objective is to Christianize the Pagan inhabitants of region, by fire or sword if nessesary.;L'Ordre Teutonique a établi une nouvelle enclave dans la Baltique.  Leur objectif est de christianiser les païens de la région, par le feu et l'épée si nécessaire. ;The Teutonic Order have established a new enclave in the Baltic. Their objective is to Christianize the Pagan inhabitants of region, by fire or sword if nessesary.;;;;;;;;;x;;
EVTOPTA7777801;Deus Volt!;Deus Volt!;Deus Volt!;;Deus Volt!;;;;;;;;;x
EVTOPTB7777801;I see.;Je vois.;Ich verstehe;;I see.;;;;;;;;;x
EVTNAME7777802;The Knights Hospitallers - England;Les Hospitaliers - Angleterre;The Knights Hospitallers - England;;The Knights Hospitallers - England;;;;;;;;;x
EVTDESC7777802;The expanding power and influence of the Knights Hospitallers have allowed them to spread their order to new lands. They have established a new enclave in England.;L'influence et la puissance grandissante des chevaliers du Temple leur a permis de diffuser leur ordre sur de nouvelles terres. Ils ont établi une nouvelle enclave en Angleterre. ;Die ausgedehnte Macht und der Einfluss der Knights Hospitallerss haben ihnen erlaubt, ihre Ordnung zu neuen Ländern auszubreiten. Sie haben eine neue Enklave in England gegründet.;;;;;;;;;x;;
EVTOPTA7777802;Deus Volt!;Deus Volt!;Deus Volt!;;Deus Volt!;;;;;;;;;x
EVTOPTB7777802;I see.;Je vois.;Ich verstehe;;I see.;;;;;;;;;x
EVTNAME7777803;The Knights Hospitallers - Spain;Les Hospitaliers - Espagne;The Knights Hospitallers - Spanien;;The Knights Hospitallers - Spain;;;;;;;;;x
EVTDESC7777803;The expanding power and influence of the Knights Hospitallers have allowed them to spread their order to new lands. They have established a new enclave in Spain.;L'influence et la puissance grandissante des chevaliers du Temple leur a permis de diffuser leur ordre sur de nouvelles terres. Ils ont établi une nouvelle enclave en Espagne. ;Die ausgedehnte Macht und der Einfluss der Knights Hospitallerss haben ihnen erlaubt, ihre Ordnung zu neuen Ländern auszubreiten. Sie haben eine neue Enklave in Spanien gegründet.;;;;;;;;;x;;
EVTOPTA7777803;Deus Volt!;Deus Volt!;Deus Volt!;;Deus Volt!;;;;;;;;;x
EVTOPTB7777803;I see.;Je vois.;Ich verstehe;;I see.;;;;;;;;;x
d_ulfheonar2;Úlfhéðnar;Úlfhéðnar;Úlfhéðnar;;Úlfhéðnar;;;;;;;;;x
d_ulfheonar2_adj;Úlfhéðnar;Úlfhéðnar;Úlfhéðnar;;Úlfhéðnar;;;;;;;;;x
d_devotees_of_the_true_prophet2;Devotees of the True Prophet;Dévôts du Vrai Prophète;Anhänger des Wahren Propheten;;Devotees of the True Prophet;;;;;;;;;x
d_devotees_of_the_true_prophet2_adj;Devotees of the True Prophet;Dévôts du Vrai Prophète;Anhänger des Wahren Propheten;;Devotees of the True Prophet;;;;;;;;;x
d_guardians_of_the_sacred_flame2;Guardians of the Sacred Flame;Gardiens de la Flamme Sacrée;Wächter der Heiligen Flamme;;Guardians of the Sacred Flame;;;;;;;;;x
d_guardians_of_the_sacred_flame2_adj;Guardians of the Sacred Flame;Gardiens de la Flamme Sacrée;Wächter der Heiligen Flamme;;Guardians of the Sacred Flame;;;;;;;;;x
d_disciples_of_the_old_gods2;Disciples of the Old Gods;Disciples des Anciens Dieux;Apostel der Alten Götter;;Disciples of the Old Gods;;;;;;;;;x
d_disciples_of_the_old_gods2_adj;Disciples of the Old Gods;Disciples des Anciens Dieux;Apostel der Alten Götter;;Disciples of the Old Gods;;;;;;;;;x
d_ulfheonar;Úlfhéðnar;Úlfhéðnar;Úlfhéðnar;;Úlfhéðnar;;;;;;;;;x
d_ulfheonar_adj;Úlfhéðnar;Úlfhéðnar;Úlfhéðnar;;Úlfhéðnar;;;;;;;;;x
d_devotees_of_the_true_prophet;Devotees of the True Prophet;Dévôts du Vrai Prophète;Anhänger des Wahren Propheten;;Devotees of the True Prophet;;;;;;;;;x
d_devotees_of_the_true_prophet_adj;Devotees of the True Prophet;Dévôts du Vrai Prophète;Anhänger des Wahren Propheten;;Devotees of the True Prophet;;;;;;;;;x
d_guardians_of_the_sacred_flame;Guardians of the Sacred Flame;Gardiens de la Flamme Sacrée;Wächter der Heiligen Flamme;;Guardians of the Sacred Flame;;;;;;;;;x
d_guardians_of_the_sacred_flame_adj;Guardians of the Sacred Flame;Gardiens de la Flamme Sacrée;Wächter der Heiligen Flamme;;Guardians of the Sacred Flame;;;;;;;;;x
d_disciples_of_the_old_gods;Disciples of the Old Gods;Disciples des Anciens Dieux;Apostel der Alten Götter;;Disciples of the Old Gods;;;;;;;;;x
d_disciples_of_the_old_gods_adj;Disciples of the Old Gods;Disciples des Anciens Dieux;Apostel der Alten Götter;;Disciples of the Old Gods;;;;;;;;;x
d_great_host;Great Host;Grand Hôte;Großer Gastgeber;;Great Host;;;;;;;;;x
d_great_host_adj;Great Host;Grand Hôte;Großer Gastgeber;;Great Host;;;;;;;;;x
d_humble_hedge_knights;Humble Hedge Knights;Humbles Chevaliers-errants;Bescheidene Hecken-Ritter;;Humble Hedge Knights;;;;;;;;;x
d_humble_hedge_knights_adj;Humble Hedge Knights;Humbles Chevaliers-errants;Bescheidene Hecken-Ritter;;Humble Hedge Knights;;;;;;;;;x
d_brotherhood_of_the_shield;Brotherhood of the Shield;Fraternité du Bouclier;Bruderschaft des Schildes;;Brotherhood of the Shield;;;;;;;;;x
d_brotherhood_of_the_shield_adj;Brotherhood of the Shield;Fraternité du Bouclier;Bruderschaft des Schildes;;Brotherhood of the Shield;;;;;;;;;x
d_legendary_longbowmen;Legendary Longbowmen;Archers Légendaires;Legendärer Langbögenmänner;;Legendary Longbowmen;;;;;;;;;x
d_legendary_longbowmen_adj;Legendary Longbowmen;Archers Légendaires;Legendärer Langbögenmänner;;Legendary Longbowmen;;;;;;;;;x
d_sons_of_ireland;Sons of Ireland;Fils d'Irlande;Söne Irlands;;Sons of Ireland;;;;;;;;;x
d_sons_of_ireland_adj;Sons of Ireland;Fils d'Irlande;Söne Irlands;;Sons of Ireland;;;;;;;;;x
d_lost_company;Lost Company;Compagnie Perdue;Verlorene Gesellschaft;;Lost Company;;;;;;;;;x
d_lost_company_adj;Lost Company;Compagnie Perdue;Verlorene Gesellschaft;;Lost Company;;;;;;;;;x
d_foresters;Foresters;Forestiers;Förster;;Foresters;;;;;;;;;x
d_foresters_adj;Foresters;Forestiers;Förster;;Foresters;;;;;;;;;x
d_genovese_crossbow_contingent;Genovese Crossbow Contingent;Contingent d'Arbalétrier génois;Genovese Armbrust-Anteil;;Genovese Crossbow Contingent;;;;;;;;;x
d_genovese_crossbow_contingent_adj;Genovese Crossbow Contingent;Contingent d'Arbalétrier génois;Genovese Armbrust-Anteil;;Genovese Crossbow Contingent;;;;;;;;;x
d_ventura_company;Ventura Company;Compagnie Ventura;Ventura Gesellschaft;;Ventura Company;;;;;;;;;x
d_ventura_company_adj;Ventura Company;Compagnie Ventura;Ventura Gesellschaft;;Ventura Company;;;;;;;;;x
d_band_of_the_broken_arrow;Band of the Broken Arrow;Bande de la Flèche Percée;Band of the Broken Arrow;;Band of the Broken Arrow;;;;;;;;;x
d_band_of_the_broken_arrow_adj;Band of the Broken Arrow;Bande de la Flèche Percée;Band of the Broken Arrow;;Band of the Broken Arrow;;;;;;;;;x
d_legion_of_the_burning_sun;Legion of the Burning Sun;Légion du du Soleil Brûlant;Legion of the Burning Sun;;Legion of the Burning Sun;;;;;;;;;x
d_legion_of_the_burning_sun_adj;Legion of the Burning Sun;Légion du du Soleil Brûlant;Legion of the Burning Sun;;Legion of the Burning Sun;;;;;;;;;x
d_band_of_the_burning_sun;Band of the Burning Sun;Bande du Soleil Brûlant;Band of the Burning Sun;;Band of the Burning Sun;;;;;;;;;x
d_band_of_the_burning_sun_adj;Band of the Burning Sun;Bande du Soleil Brûlant;Band of the Burning Sun;;Band of the Burning Sun;;;;;;;;;x
d_iberian_horsemen;Iberian Horsemen;Cavaliers Ibères;Iberian Horsemen;;Iberian Horsemen;;;;;;;;;x
d_iberian_horsemen_adj;Iberian Horsemen;Cavaliers Ibères;Iberian Horsemen;;Iberian Horsemen;;;;;;;;;x
d_soldiers_of_the_crescent_moon;Soldiers of the Crescent Moon;Soldats du Croissant de Lune;Soldiers of the Crescent Moon;;Soldiers of the Crescent Moon;;;;;;;;;x
d_soldiers_of_the_crescent_moon_adj;Soldiers of the Crescent Moon;Soldats du Croissant de Lune;Soldiers of the Crescent Moon;;Soldiers of the Crescent Moon;;;;;;;;;x
d_ruriks_raiders;Rurik's Raiders;Pilleurs de Ruriks;Rurik's Raiders;;Rurik's Raiders;;;;;;;;;x
d_ruriks_raiders_adj;Rurik's Raiders;Pilleurs de Ruriks;Rurik's Raiders;;Rurik's Raiders;;;;;;;;;x
d_guilded_daggers;Guilded Daggers;Guilde des Poignards;Guilded Daggers;;Guilded Daggers;;;;;;;;;x
d_guilded_daggers_adj;Guilded Daggers;Guilde des Poignards;Guilded Daggers;;Guilded Daggers;;;;;;;;;x
d_roaming_regiment;Roaming Regiment;Régiment Errant;Roaming Regiment;;Roaming Regiment;;;;;;;;;x
d_roaming_regiment_adj;Roaming Regiment;Régiment Errant;Roaming Regiment;;Roaming Regiment;;;;;;;;;x
d_honorable_exiles;Honorable Exiles;Honorables Exilés;Honorable Exiles;;Honorable Exiles;;;;;;;;;x
d_honorable_exiles_adj;Honorable Exiles;Honorables Exilés;Honorable Exiles;;Honorable Exiles;;;;;;;;;x
d_thousand_spears;Thousand Spears;Mille Piques;Thousand Spears;;Thousand Spears;;;;;;;;;x
d_thousand_spears_adj;Thousand Spears;Mille Piques;Thousand Spears;;Thousand Spears;;;;;;;;;x
d_greenshield_sellswords;Greenshield Sellswords;Epées Louées du Vert-Bouclier;Greenshield Sellswords;;Greenshield Sellswords;;;;;;;;;x
d_greenshield_sellswords_adj;Greenshield Sellswords;Epées Louées du Vert-Bouclier;Greenshield Sellswords;;Greenshield Sellswords;;;;;;;;;x
d_nomadic_raiders;Nomadic Raiders;Pilleurs Nomades;Nomadic Raiders;;Nomadic Raiders;;;;;;;;;x
d_nomadic_raiders_adj;Nomadic Raiders;Pilleurs Nomades;Nomadic Raiders;;Nomadic Raiders;;;;;;;;;x
d_venetian_transport_fleet;Venetian Transport Fleet;Flotte de Transport Vénitienne;Venetian Transport Fleet;;Venetian Transport Fleet;;;;;;;;;x
d_venetian_transport_fleet_adj;Venetian Transport Fleet;Flotte de Transport Vénitienne;Venetian Transport Fleet;;Venetian Transport Fleet;;;;;;;;;x
d_genovese_transport_fleet;Genovese Transport Fleet;Flotte de Transport Génoise;Genovese Transport Fleet;;Genovese Transport Fleet;;;;;;;;;x
d_genovese_transport_fleet_adj;Genovese Transport Fleet;Flotte de Transport Génoise;Genovese Transport Fleet;;Genovese Transport Fleet;;;;;;;;;x
d_baltic_transport_fleet;Baltic Transport Fleet;Flotte de Transport de la Baltique;Baltic Transport Fleet;;Baltic Transport Fleet;;;;;;;;;x
d_baltic_transport_fleet_adj;Baltic Transport Fleet;Flotte de Transport de la Baltique;Baltic Transport Fleet;;Baltic Transport Fleet;;;;;;;;;x
d_venetian_transport_convoy;Venetian Transport Convoy;Convoi de Transport Vénitien;Venetian Transport Convoy;;Venetian Transport Convoy;;;;;;;;;x
d_venetian_transport_convoy_adj;Venetian Transport Convoy;Convoi de Transport Vénitien;Venetian Transport Convoy;;Venetian Transport Convoy;;;;;;;;;x
d_genovese_transport_convoy;Genovese Transport Convoy;Convoi de Transport Génois;Genovese Transport Convoy;;Genovese Transport Convoy;;;;;;;;;x
d_genovese_transport_convoy_adj;Genovese Transport Convoy;Convoi de Transport Génois;Genovese Transport Convoy;;Genovese Transport Convoy;;;;;;;;;x
d_baltic_transport_convoy;Baltic Transport Convoy;Convoi de Transport de la Baltique;Baltic Transport Convoy;;Baltic Transport Convoy;;;;;;;;;x
d_baltic_transport_convoy_adj;Baltic Transport Convoy;Convoi de Transport de la Baltique;Baltic Transport Convoy;;Baltic Transport Convoy;;;;;;;;;x
d_rus_legion;Rus Legion;Légion Rus;Rus Legion;;Rus Legion;;;;;;;;;x
d_rus_legion_adj;Rus Legion;Légion Rus;Rus Legion;;Rus Legion;;;;;;;;;x
d_turkoman_legion;Turkoman Legion;Légion Tukmène;Turkoman Legion;;Turkoman Legion;;;;;;;;;x
d_turkoman_legion_adj;Turkoman Legion;Légion Tukmène;Turkoman Legion;;Turkoman Legion;;;;;;;;;x
d_iberian_legion;Iberian Legion;Légion Ibère;Iberian Legion;;Iberian Legion;;;;;;;;;x
d_iberian_legion_adj;Iberian Legion;Légion Ibère;Iberian Legion;;Iberian Legion;;;;;;;;;x
d_legion_of_the_nile;Legion of the Nile;Légion du Nil;Legion of the Nile;;Legion of the Nile;;;;;;;;;x
d_legion_of_the_nile_adj;Legion of the Nile;Légion du Nil;Legion of the Nile;;Legion of the Nile;;;;;;;;;x
d_legion_of_the_black_sea;Legion of the Black Sea;Légion de la Mer Noire;Legion of the Black Sea;;Legion of the Black Sea;;;;;;;;;x
d_legion_of_the_black_sea_adj;Legion of the Black Sea;Légion de la Mer Noire;Legion of the Black Sea;;Legion of the Black Sea;;;;;;;;;x
d_dutch_legion;Dutch Legion;Légion Hollandaise;Dutch Legion;;Dutch Legion;;;;;;;;;x
d_dutch_legion_adj;Dutch Legion;Légion Hollandaise;Dutch Legion;;Dutch Legion;;;;;;;;;x
failed_charge_tactic;Failed Charge Tactic;Tactique de Charge échouée;Abwartetaktik;;Táctica de espera;;;;;;;;;x
disorderly_charge_tactic;Disorderly Charge Tactic;Tactique de Charge désordonnée;Abwartetaktik;;Táctica de espera;;;;;;;;;x
normal_charge_tactic;Normal Charge Tactic;Tactique de charge normale;Abwartetaktik;;Táctica de espera;;;;;;;;;x
powerful_charge_tactic;Powerful Charge Tactic;Tactique de charge puissante;Abwartetaktik;;Táctica de espera;;;;;;;;;x
devestating_charge_tactic;Devestating Charge Tactic;Tactique de charge dévastatrice;Abwartetaktik;;Táctica de espera;;;;;;;;;x
failed_raid_tactic;Failed Raid Tactic;Tactique de raid échouée;Abwartetaktik;;Táctica de espera;;;;;;;;;x
disorderly_raid_tactic;Disorderly Raid Tactic;Tactique de raid désordonnée;Abwartetaktik;;Táctica de espera;;;;;;;;;x
normal_raid_tactic;Normal Raid Tactic;Tactique de raid normale;Abwartetaktik;;Táctica de espera;;;;;;;;;x
powerful_raid_tactic;Powerful Raid Tactic;Tactique de raid puissante;Abwartetaktik;;Táctica de espera;;;;;;;;;x
devestating_raid_tactic;Devestating Raid Tactic;Tactique de raid dévastatrice;Abwartetaktik;;Táctica de espera;;;;;;;;;x
failed_advance_tactic;Failed Advance Tactic;Tactique d'avancée échouée;Abwartetaktik;;Táctica de espera;;;;;;;;;x
disorderly_advance_tactic;Disorderly Advance Tactic;Tactique d'avancée désordonnée;Abwartetaktik;;Táctica de espera;;;;;;;;;x
normal_advance_tactic;Normal Advance Tactic;Tactique d'avancée normale;Abwartetaktik;;Táctica de espera;;;;;;;;;x
powerful_advance_tactic;Powerful Advance Tactic;Tactique d'avancée puissante;Abwartetaktik;;Táctica de espera;;;;;;;;;x
devestating_advance_tactic;Devestating Advance Tactic;Tactique d'avancée dévastatrice;Abwartetaktik;;Táctica de espera;;;;;;;;;x
failed_standfast_tactic;Failed Standfast Tactic;Tactique de tenir bon échouée;Abwartetaktik;;Táctica de espera;;;;;;;;;x
disorderly_standfast_tactic;Disorderly Standfast Tactic;Tactique de tenir bon désordonnée;Abwartetaktik;;Táctica de espera;;;;;;;;;x
normal_standfast_tactic;Normal Standfast Tactic;Tactique de tenir bon normale;Abwartetaktik;;Táctica de espera;;;;;;;;;x
powerful_standfast_tactic;Powerful Standfast Tactic;Tactique de tenir bon puissante;Abwartetaktik;;Táctica de espera;;;;;;;;;x
devestating_standfast_tactic;Devestating Standfast Tactic;Tactique de tenir bon dévastatrice;Abwartetaktik;;Táctica de espera;;;;;;;;;x
failed_volley_tactic;Failed Volley Tactic;Tactique de salve échouée;Abwartetaktik;;Táctica de espera;;;;;;;;;x
disorderly_volley_tactic;Disorderly Volley Tactic;Tactique de salve désordonnée;Abwartetaktik;;Táctica de espera;;;;;;;;;x
normal_volley_tactic;Normal Volley Tactic;Tactique de salve normale;Abwartetaktik;;Táctica de espera;;;;;;;;;x
powerful_volley_tactic;Powerful Volley Tactic;Tactique de salve puissante;Abwartetaktik;;Táctica de espera;;;;;;;;;x
devestating_volley_tactic;Devestating Volley Tactic;Tactique de salve dévastatrice;Abwartetaktik;;Táctica de espera;;;;;;;;;x
failed_swarm_tactic;Failed Swarm Tactic;Tactiquede regroupement échouée;Abwartetaktik;;Táctica de espera;;;;;;;;;x
disorderly_swarm_tactic;Disorderly Swarm Tactic;Tactique de regroupement désordonnée;Abwartetaktik;;Táctica de espera;;;;;;;;;x
normal_swarm_tactic;Normal Swarm Tactic;Tactique de regroupement normale;Abwartetaktik;;Táctica de espera;;;;;;;;;x
powerful_swarm_tactic;Powerful Swarm Tactic;Tactique de regroupement puissante;Abwartetaktik;;Táctica de espera;;;;;;;;;x
devestating_swarm_tactic;Devestating Swarm Tactic;Tactique de regroupement dévastatrice;Abwartetaktik;;Táctica de espera;;;;;;;;;x
failed_harass_tactic;Failed Harass Tactic;Tactique d'harcèlement échouée;Abwartetaktik;;Táctica de espera;;;;;;;;;x
disorderly_harass_tactic;Disorderly Harass Tactic;Tactique d'harcelement désordonnée;Abwartetaktik;;Táctica de espera;;;;;;;;;x
normal_harass_tactic;Normal Harass Tactic;Tactique d'harcèlement normale;Abwartetaktik;;Táctica de espera;;;;;;;;;x
powerful_harass_tactic;Powerful Harass Tactic;Tactique d'harcèlement puissante;Abwartetaktik;;Táctica de espera;;;;;;;;;x
devestating_harass_tactic;Devestating Harass Tactic;Tactique d'harcèlement dévastatrice;Abwartetaktik;;Táctica de espera;;;;;;;;;x
failed_shieldwall_tactic;Failed Shieldwall Tactic;Tactique du mur de boucliers échouée;Abwartetaktik;;Táctica de espera;;;;;;;;;x
disorderly_shieldwall_tactic;Disorderly Shieldwall Tactic;Tactique du mur de boucliers désordonnée;Abwartetaktik;;Táctica de espera;;;;;;;;;x
normal_shieldwall_tactic;Normal Shieldwall Tactic;Tactique du mur de boucliers normale;Abwartetaktik;;Táctica de espera;;;;;;;;;x
powerful_shieldwall_tactic;Powerful Shieldwall Tactic;Tactique du mur de boucliers puissante;Abwartetaktik;;Táctica de espera;;;;;;;;;x
devestating_shieldwall_tactic;Devestating Shieldwall Tactic;Tactique du mur de boucliers dévastatrice;Abwartetaktik;;Táctica de espera;;;;;;;;;x
defenderbonus_farmlands;Farmlands;Terres arables;Ackerland;;Tierras de cultivo;;;;;;;;;x
defenderbonus_plains;Plains;Plaines;Ebenen;;Llanura;;;;;;;;;x
