#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nick_the_ironside;Ironside;Côte-de-Fer;Eisenseite;;Brazo de Hierro;;;;;;;;;x
nick_the_poet;the Poet;le Poète;der Dichter;;El Poeta;;;;;;;;;x
nick_the_cunning;the Cunning;le Ruse;der Listige;;El Astucia;;;;;;;;;x
nick_the_meek;the Meek;le Doux;der Sanftmütige;;El Manso;;;;;;;;;x
nick_the_impaler;the Impaler;le Empaleur;der Pfähler;;El Empalador;;;;;;;;;x
nick_the_spider;the Spider;le Araignée;die Spinne;;El Araña;;;;;;;;;x
nick_the_learned;the Learned;le Savant;der Gelehrte;;El Aprendido;;;;;;;;;x
nick_the_eloquent;the Eloquent;le Éloquent;der Wortgewandte;;El Elocuente;;;;;;;;;x
nick_the_indolent;the Indolent;le Indolent;der Träge;;El Indolente;;;;;;;;;x
nick_the_hunchback;the Hunchback;le Bossu;der Bucklige;;El Jorobado;;;;;;;;;x
nick_the_benign;the Benign;le Bénin;der Gutartig;;El Benigno;;;;;;;;;x
nick_the_leper;the Leper;le Lépreux;der Aussätzige;;El Leproso;;;;;;;;;x
nick_the_prudent;the Prudent;le Prudent;der Umsichtige;;El Prudente;;;;;;;;;x
nick_the_wolf;the Wolf;le Loup;der Wolf;;El Lobo;;;;;;;;;x
nick_the_downcast;the Downcast;le Abattu;der Niedergeschlagene;;El Alicaído;;;;;;;;;x
nick_the_mild;the Mild;le Bénin;der Milde;;El Leve;;;;;;;;;x
nick_the_scholar;the Scholar;le Érudit;der Gelehrte;;El Erudito;;;;;;;;;x
nick_the_theologian;the Theologian;le Théologien;der Theologe;;El Teólogo;;;;;;;;;x
nick_the_decadent;the Decadent;le Décadent;der Dekadent;;El Decadente;;;;;;;;;x
nick_the_vain;the Vain;le Vaniteux;der Eitle;;El Vano;;;;;;;;;x
nick_the_stout;the Stout;le Robuste;der Stämmige;;El Corpulento;;;;;;;;;x
nick_the_ugly;the Ugly;le Laid;der Hässliche;;El Feo;;;;;;;;;x
nick_the_short;the Short;le Petite;der Kleingewachsene;;El Corto;;;;;;;;;x
nick_the_planter;the Planter;le Planteur;der Pflanzer;;El Plantador;;;;;;;;;x
nick_the_rash;the Rash;le Imprudent;der Unbesonnene;;El Adjetivo;;;;;;;;;x
nick_the_parricide;the Parricide;le Parricide;der Vatermörder;;El Parricidio;;;;;;;;;x
nick_the_illustrious;the Illustrious;le Illustre;der Berühmt;;El Ilustre;;;;;;;;;x
