#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;;
TECH_DEM_INC_K_E;§G+0.5§! demesne size for Kings & Emperors;§G+0.5§! surface de terres pour les rois et empereurs;§G+0.5§! Größe des Grundbesitzes für Könige und Kaiser;;§G+0.5§! tamaño de señoríos para Reyes y Emperadores;;;;;;;;;x
TECH_DEM_INC_D;§G+0.5§! demesne size for Dukes;§G+0.5§! surface de terres pour les ducs;§G+0.5§! Größe des Grundbesitzes für Herzöge;;§G+0.5§! tamaño de señoríos para Duques;;;;;;;;;x
TECH_DEM_INC_C;§G+0.5§! demesne size for Counts;§G+0.5§! surface de terres pour les comtes;§G+0.5§! Größe des Grundbesitzes für Grafen;;§G+0.5§! tamaño de señoríos para Condes;;;;;;;;;x
TECH_DEM_INC_B;§G+0.5§! demesne size for Barons;§G+0.5§! surface de terres pour les barons;§G+0.5§! Größe des Grundbesitzes für Barone;;§G+0.5§! tamaño de señoríos para Barones;;;;;;;;;x
CALL_ALLY_INTERACTION_ACCEPT_LOG;§Y[Recipient.GetBestName]§W accepted §Y[Actor.GetBestName]'s§W call to arms.;Y[Recipient.GetBestName]W a accepté l’appel aux armes de Y[Actor.GetBestName] pour §Y$ACTOR_WARS$!;§Y[Recipient.GetBestName]§W hat §Y[Actor.GetBestName]s§W Ruf zu den Waffen für §Y$ACTOR_WARS$§! angenommen;;§Y[Recipient.GetBestName]§W ha aceptado la llamada a la armas de §Y[Actor.GetBestName]'s§W para Y$ACTOR_WARS$§!;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CALL_ALLY_INTERACTION_ACCEPT_LOG;§Y[Recipient.GetBestName]§W accepted §Y[Actor.GetBestName]'s§W call to arms.;Y[Recipient.GetBestName]W a accepté l’appel aux armes de Y[Actor.GetBestName] pour §Y$ACTOR_WARS$!;§Y[Recipient.GetBestName]§W hat §Y[Actor.GetBestName]s§W Ruf zu den Waffen für §Y$ACTOR_WARS$§! angenommen;;§Y[Recipient.GetBestName]§W ha aceptado la llamada a la armas de §Y[Actor.GetBestName]'s§W para Y$ACTOR_WARS$§!;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
claim_on_liege_primary_desc;This Casus Belli can be used by §Y$CLAIMANT$§! to press the claim on the §Y$TITLE$§!;Ce casus belli peut être utilisé par le(la) §Y$CLAIMANT$§! pour appuyer sa revendication vis-à-vis du(de la) §Y$TITLE$§!;§Y$CLAIMANT$§! kann diesen Kriegsgrund benutzen, um den Anspruch auf den Titel §Y$TITLE$§ voranzutreiben!;;Este Casus Belli puede ser usado por §Y$CLAIMANT$§! para instar la reclamación de §Y$TITLE$§!;;;;;;;;;x
RULER_JOINS_ENEMY_WAR_LOG;§Y$ENEMY$§! has joined §Y$WHO$§! in the §Y$WAR$§!;§Y$ENEMY$! a rejoint §Y$WHO$! dans la §Y$WAR$!!;§Y$ENEMY$§! schließt sich §Y$WHO$§! im §Y$WAR$§! an;;§Y$ENEMY$§! Se ha unido a §Y$WHO$§! en la §Y$WAR$§!;;;;;;;;;x;;;
CB_NAME_TRIBAL_INVASION;Invasion of [Title.GetName];Invasion de [Title.GetName];Invasion von [Title.GetName];;Invasion of [Title.GetName];;;;;;;;;x;;;
WAR_NAME_TRIBAL_INVASION;$ORDER$$FIRST_ADJ$ Invasion of $OTHER_TITLE$;$ORDER$ invasion $FIRST_ADJ$ du(de la) $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ Invasion von $OTHER_TITLE$;;$ORDER$Invasión $FIRST_ADJ$ de $OTHER_TITLE$;;;;;;;;;x;;;
tribal_invasion_desc;Tribes do not bother with just causes - might makes right!;Les tribus ne moquent des causes justes, elles règnent par la force !;Stämme kümmern gerechte Sachen nicht - es gilt das Recht des Stärkeren!;;Las tribus no pierden el tiempo con causas justas. ¡Es el poderoso quien determina lo que es justo!;;;;;;;;;x;;;
RELEASE_FROM_PRISON_INTERACTION_1;This will increase their opinion of you by §G50§!.;Cela va améliorer leur opinion de vous de §G50§!.;Dadurch erhöht sich ihre Meinung über Sie um §G50§!.;;This will increase their opinion of you by §G50§!.;;;;;;;;;x;;;
HAS_LANDED_TITLE;Holds the title of $TITLE$;N’est pas $RULERTITLE$ de $TITLE$;Ist $RULERTITLE$ von $TITLE$;;Es $RULERTITLE$ de $TITLE$;;;;;;;;;x;;;
PADISHAH;Great Sultan;Great Sultan;Great Sultan;;Great Sultan;;;;;;;;;x;;;
EVTNOCOUNCILREQUESTS;Do not bring such petitions before me ever again!;N'amenez plus jamais de telles pétitions devant moi!;Bringen Sie solche Bitten vor mir niemals wieder vor !;Do not bring such petitions before me ever again!;Do not bring such petitions before me ever again!;Do not bring such petitions before me ever again!;Do not bring such petitions before me ever again!;Do not bring such petitions before me ever again!;Do not bring such petitions before me ever again!;Do not bring such petitions before me ever again!;Do not bring such petitions before me ever again!;Do not bring such petitions before me ever again!;x;;;;
GOD_HASHEM;Hashem;Hashem;Hashem;;Hashem;;;;;;;;;x;;;
GOD_ADONAI;Adonai;Adonai;Adonai;;Adonai;;;;;;;;;x;;;
ISNT_CLOSE_RELATIVE;Not a close relative of;Pas un parent proche de;Kein naher Verwandter von;;Not a close relative of;;;;;;;;;x;;;
THE_TORAH;The Torah;La Torah;Die Torah;;The Torah;;;;;;;;;x;;;
