#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
brm_revolt;Peasant Revolt;Révolte paysanne;Massive Revolte;;Massive revolt;;;;;;;;;x
brm_reduced_tax;Tax Reduction;Taxes réduites;Steuern reduziert;;Reduced tax;;;;;;;;;x
brm_rebel_offer_rejected;Rebel Offer Rejected;Offre Rebelle rejetée;Rebellen Angebot abgelehnt;;Rebels offer rejected;;;;;;;;;x
brm_isolated_province;Isolated Province;Province isolée;Isolierte Provinz;;Isolated province;;;;;;;;;x
EVTDESC1000025000;A revolt has broken out in [Root.GetName]! Angered by my 'oppressive' rule, the peasants have taken to arms.;Une révolte a éclaté à [Root.GetName] ! En colère contre mon 'règne tyrannique', les paysans ont pris les armes.;In [Root.GetName] ist eine Revolte ausgebrochen! Die Bauern sind wütend über meine 'Gewaltherrschaft' und haben daher zu den Waffen gegriffen.;;¡Ha estallado una revuelta en [Root.GetName]! Furiosos por mi 'gobierno opresor', los campesinos han tomado las armas.;;;;;;;;;x
EVTOPTA1000025000;How dare they oppose me!;Comment osent-ils s’opposer à moi !;Wie können sie es wagen, sich gegen mich zu stellen!;;¿Cómo osan oponerse a mí?;;;;;;;;;x
EVTDESC1000025001;A revolt has broken out in [From.GetName]! Angered by the oppressive rule of [From.County.Holder.GetTitledName], the peasants have taken to arms. Their indiscriminate destruction will unfortunately hit my holdings as well...;Une révolte a éclaté à [From.GetName] ! En colère contre le règne tyrannique de [From.County.Holder.GetTitledName], les paysans ont pris les armes. Ils détruisent tout sans discernement et risquent donc de s’en prendre à mes propriétés...;In [Root.GetName] ist eine Revolte ausgebrochen! Die Bauern sind wütend über die Gewaltherrschaft von [From.County.Holder.GetTitledName] und haben daher zu den Waffen gegriffen. Ihre wahllose Zerstörungswut wird leider auch meine Besitztümer treffen ...;;¡Ha estallado una revuelta en [From.GetName]! Furiosos por el gobierno opresor de [From.County.Holder.GetTitledName], los campesinos han tomado las armas. Por desgracia su destrucción indiscriminada también afectará a mis posesiones...;;;;;;;;;x
EVTOPTA1000025001;If the count doesn't act, I better...;Si le comte n’intervient pas, je le ferai...;Wenn der Graf nicht reagiert, sollte ich besser ...;;Si el conde no actúa, será mejor que yo...;;;;;;;;;x
EVTDESC1000025002;The peasant army ravageing the province of [Root.GetName] is burning down buildings!;L’armée de paysans qui ravage la province de [Root.GetName] incendie les édifices !;Die Bauernarmee, die gerade die Provinz [Root.GetName] verwüstet, brennt nun auch Gebäude nieder!;;¡El ejército de campesinos que asola la provincia de [Root.GetName] está quemando edificios!;;;;;;;;;x
EVTOPTA1000025002;Is there anything they won't destroy?;Y a-t-il quelque chose qu’ils comptent épargner ?;Gibt es irgendwas, das sie nicht zerstören würden?;;¿Dejarán algo sin destruir?;;;;;;;;;x
EVTOPTB1000025002;Bad news, but I am glad it didn't happen to my holdings...;Mauvaise nouvelle, mais je suis content(e) que mes propriétés ne soient pas concernées...;Schlechte Nachrichten, aber das betrifft meine Besitztümer nicht ....;;Malas noticias, pero me alegro de que no le pasara a mis posesiones...;;;;;;;;;x
EVTDESC1000025003;The peasant army ravageing the province of [From.GetName] is burning down my buildings!;L’armée de paysans qui ravage la province de [From.GetName] incendie mes édifices !;Die Bauernarmee, die gerade die Provinz von [From.GetName] verwüstet, brennt nun auch Gebäude nieder!;;¡El ejército de campesinos que asola la provincia de [From.GetName] está quemando edificios!;;;;;;;;;x
EVTDESC1000025004;I have been attacked by the peasants rebels in [Root.Location.GetName]!;Les paysans rebelles de [Root.Location.GetName] s’en sont pris à moi !;Die Bauernrebellen haben mich in [Root.Location.GetName] angegriffen!;;¡Los campesinos rebeldes me han atacado en [Root.Location.GetName]!;;;;;;;;;x
EVTOPTA1000025004;They killed me?!;Ils m’ont tué(e) ?!;Sie haben mich getötet?!;;¿Me han matado?;;;;;;;;;x
EVTOPTB1000025004;Damn these rebels!;Maudits rebelles !;Diese verdammten Rebellen ...;;¡Malditos rebeldes!;;;;;;;;;x
EVTOPTC1000025004;I am lucky to be alive...;J’ai de la chance d’être en vie...;Ich habe Glück, am Leben zu sein ...;;Tengo suerte de estar vivo...;;;;;;;;;x
