#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC2002000;I expressed my wishes and desires for a coronation in Rome to his holiness the Pope. Hopefully he will accept my request so that I can begin inviting my lords to attend the coronation ceremony.;J'ai exprimé mon souhait et mon désir d'être couronné à Rome par Sa Sainteté le Pape. Avec bon espoir il accèdera à ma requête et je pourrais commencer à inviter mes seigneurs pour qu'ils assistent au couronnement. ;Ich äußerte meine Wünsche und Sehnsüchte für eine Krönung in Rom, um seine Heiligkeit der Papst. Hoffentlich wird er akzeptieren meine Bitte, damit ich anfangen kann meine Herren einladen, um die Krönungszeremonie beizuwohnen.;I expressed my wishes and desires for a coronation in Rome to his holiness the Pope. Hopefully he will accept my request so that I can begin inviting my lords to attend the coronation ceremony.;I expressed my wishes and desires for a coronation in Rome to his holiness the Pope. Hopefully he will accept my request so that I can begin inviting my lords to attend the coronation ceremony.;;;;;;;;;x
EVTOPTA2002000;Of course he will accept;Bien sûr il acceptera.;Natürlich wird er akzeptieren;Of course he will accept;Of course he will accept;;;;;;;;;x
EVTDESC2002005;To the most Reverend and Blessed Apostolic Pope,\n\nI would like to ask you for your blessing in my rule as Emperor-elect by holding officially holding a coronation ceremony in my honour.\n\nYour most devoted subject,\n[From.GetTitledName];Au Vénérable et Bienheureux Pape Apostolique,\n\nJ'aimerais vous demander votre bénédiction pour mon règne en tant qu'Empereur-élu par la tenue d'une cérémonie de couronnement en mon honneur.\n\nYour most devoted subject,\n[From.GetTitledName];Zu den vererten und seligen Apostolischen Papst, würde \n\nl nich möchte Ihnen für Ihren Segen bitten werdet in meinem Herrschaft als Kaiser-elect, indem offiziell im Besitz einer Krönungszeremonie in meiner Ehre. \n\n Euer ergebener Diener;To the most Reverend and Blessed Apostolic Pope,\n\nI would like to ask you for your blessing in my rule as Emperor-elect by holding officially holding a coronation ceremony in my honour.\n\nYour most devoted subject,\n[From.GetTitledName];To the most Reverend and Blessed Apostolic Pope,\n\nI would like to ask you for your blessing in my rule as Emperor-elect by holding officially holding a coronation ceremony in my honour.\n\nYour most devoted subject,\n[From.GetTitledName];;;;;;;;;x
EVTOPTA2002005;[From.GetFirstName] is deserving of a crown;[From.GetFirstName] mérite une couronne.;[From.GetFirstName] verdient die Krone;[From.GetFirstName] is deserving of a crown;;;;;;;;;;x
EVTOPTB2002005;[From.GetFirstName] is no true Emperor;[From.GetFirstName] n'est pas le véritable Empereur;[From.GetFirstName] ist nicht der wahre König !;[From.GetFirstName] is no true Emperor;[From.GetFirstName] is no true Emperor;;;;;;;;;x
EVTDESC2002010;To the most devout and serene [Root.GetTitledFirstName],\nIn the name of the Lord, I, [From.GetTitledName], would like to offer you my blessing to allow your coronation in Rome, as Holy Roman Emperor, under my guidance.;Au Pieux et Sérénissime [Root.GetTitledFirstName],\nAu nom de Notre Seigneur, moi, [From.GetTitledName], voudrais vous offrir ma bénédiction pour votre couronnement à Rome, comme Saint Empereur Romain, par moi conseillé. ;An den frommen und heitern [Root.GetTitledFirstName], \nIm Namen des Herrn, Ich, [From.GetTitledName], möchte Ihnen meinen Segen anbieten, Ihre Krönung in Rom zu ermöglichen, als römisch-deutscher Kaiser, unter meiner Anleitung .;To the most devout and serene [Root.GetTitledFirstName],\nIn the name of the Lord, I, [From.GetTitledName], would like to offer you my blessing to allow your coronation in Rome, as Holy Roman Emperor, under my guidance.;To the most devout and serene [Root.GetTitledFirstName],\nIn the name of the Lord, I, [From.GetTitledName], would like to offer you my blessing to allow your coronation in Rome, as Holy Roman Emperor, under my guidance.;;;;;;;;;x
EVTOPTA2002010;Excellent, send out the a message to invite all my lords;Excellent, envoyez les invitations à mes seigneurs.;Ausgezeichnet,  sende eine Nachricht an alle meine Lords;Excellent, send out the a message to invite all my lords;Excellent, send out the a message to invite all my lords;;;;;;;;;x
EVTDESC2002015;To his Majesty [Root.GetTitledFirstName],\nIn the name of the Lord, I, [From.GetTitledName], would like to inform you that I deem you are not yet worthy and just enough as a ruler to be offered my blessings to become crowned as the Holy Roman Emperor. The Lord surely has much faith in you as you have in him, but remember that the honour of receiving His blessing does not come easy and is only for the purest of souls.\nSigned,\n[From.GetTitledName];A Sa Majesté [Root.GetTitledFirstName],\nAu nom de Notre Seigneur, moi, [From.GetTitledName], voudrais vous informer que je ne vous juge pas encore assez digne et juste comme souverain pour vous octroyer ma bénédiction en tant que Saint Empereur Romain couronné. Le Seigneur à sûrement plus de foi en vous que vous en Lui, mais n'oubliez pas que l'honneur de recevoir Sa Bénédiction n'est pas chose aisée et est réservé aux plus pures des âmes.\nSigned,\n[From.GetTitledName];An seine Majestät [Root.GetTitledFirstName], \n Im Namen des Herrn, I, [From.GetTitledName], möchte Ihnen mitteilen, dass ich erachten Sie sind noch nicht würdig und gerade genug, wie ein Herrscher meinen Segen angeboten werden gekrönt zu werden, wie die römisch-deutscher Kaiser. Der Herr hat sicher viel Vertrauen in Sie, wie Sie zu ihm haben, aber denken Sie daran, dass die Ehre zuteil, seinen Segen kommt nicht einfach und ist nur für den reinsten Seelen. \n gezeichnet, \n [From.GetTitledName];To his Majesty [Root.GetTitledFirstName],\nIn the name of the Lord, I, [From.GetTitledName], would like to inform you that I deem you are not yet worthy and just enough as a ruler to be offered my blessings to become crowned as the Holy Roman Emperor. The Lord surely has much faith in you as you have in him, but remember that the honour of receiving His blessing does not come easy and is only for the purest of souls.\nSigned,\n[From.GetTitledName];To his Majesty [Root.GetTitledFirstName],\nIn the name of the Lord, I, [From.GetTitledName], would like to inform you that I deem you are not yet worthy and just enough as a ruler to be offered my blessings to become crowned as the Holy Roman Emperor. The Lord surely has much faith in you as you have in him, but remember that the honour of receiving His blessing does not come easy and is only for the purest of souls.\nSigned,\n[From.GetTitledName];;;;;;;;x;
EVTOPTA2002015;"Why can't he ever just say:""No""!";"Pourquoi ne peut-il jamais se contenter de répondre: ""Non""!";"Wie konnt er nur ""NEIN"" sagen !";"Why can't he ever just say:""No""!";"Why can't he ever just say:""No""!";;;;;;;;x;
EVTDESC2002020;To Noble [Root.GetTitledFirstName],\nYou should be happy to know that, I, [From.GetTitledName], will hold a coronation ceremony in Rome in my honour with the blessing of his Holiness the Pope. You received the honour to be invited to attend the ceremony, which will be held soon in Rome. I await your postive reply.\n\nYour most Holy Lord and Liege,\n[From.GetTitledName];Au Noble [Root.GetTitledFirstName],\nVous devriez heureux être d'apprendre que moi, [From.GetTitledName], vais organiser une cérémonie de couronnement à Rome en mon honneur avec la bénédiction de Sa Sainteté le pape. Vous avez l'honneur d'être inviter pour assister à la cérémonie, qui devrait avoir lieu sous peu à Rome. J'attends votre réponse positive.\n\nVotre Très Saint seigneur et suzerain,\n[From.GetTitledName];An den edlen [Root.GetTitledFirstName], \n Sie sollen froh zu wissen sein das , ich, [From.GetTitledName], eine Krönungszeremonie in Rom zu meinen Ehren halten werde ,mit dem Segen Seiner Heiligkeit des Papstes. Sie erhielt die Ehre , um dieser Zeremonie, die in Kürze in Rom stattfinden soll eingeladen zu werden. Ich erwarte Ihre positive Antwort. \n\neuer allerheiligster Herr, \n[From.GetTitledName];To Noble [Root.GetTitledFirstName],\nYou should be happy to know that, I, [From.GetTitledName], will hold a coronation ceremony in Rome in my honour with the blessing of his Holiness the Pope. You received the honour to be invited to attend the ceremony, which will be held soon in Rome. I await your postive reply.\n\nYour most Holy Lord and Liege,\n[From.GetTitledName];To Noble [Root.GetTitledFirstName],\nYou should be happy to know that, I, [From.GetTitledName], will hold a coronation ceremony in Rome in my honour with the blessing of his Holiness the Pope. You received the honour to be invited to attend the ceremony, which will be held soon in Rome. I await your postive reply.\n\nYour most Holy Lord and Liege,\n[From.GetTitledName];;;;;;;;x;
