#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_ouadene_adj;Ouadene;Ouadene;Ouadene;;Ouadene;;;;;;;;;x
b_ouadene;Ouadene;Ouadene;Ouadene;;Ouadene;;;;;;;;;x
b_ouadene_adj;Ouadene;Ouadene;Ouadenische;;Ouadene;;;;;;;;;x
mande;Mande;Mande;Mande;;Mande;;;;;;;;;x
jolof;Jolof;Wolof;Jolof;;Jolof;;;;;;;;;x
sosso;Sosso;Sosso;Sosso;;Sosso;;;;;;;;;x
e_mali;Mali Empire;Empire du Mali;Mali Kaiserreich;;Imperio de Mali.;;;;;;;;;x
e_mali_adj;Mali;Mali;Malische;;Mali;;;;;;;;;x
k_jolof;Jolof;Jolof;Jolof;;Jolof;;;;;;;;;x
k_jolof_adj;Jolof;Jolof;Jolof;;Jolof;;;;;;;;;x
k_ghana;Ghana;Ghana;Ghana;;Ghana;;;;;;;;;x
k_ghana_adj;Ghana;Ghana;Ghanische;;Ghana;;;;;;;;;x
k_songhai;Songhai;Songhai;Songhai;;Songhai;;;;;;;;;x
k_songhai_adj;Songhai;Songhai;Songhische;;Songhai;;;;;;;;;x
d_takrur;Takrur;Takrur;Takrur;;Takrur;;;;;;;;;x
d_takrur_adj;Takrun;Takrun;Takrunische;;Takrun;;;;;;;;;x
d_jolof;Jolof;Jolof;Jolof;;Jolof;;;;;;;;;x
d_jolof_adj;Jolof;Jolof;Jolofische;;Jolof;;;;;;;;;x
d_susu;Susu;Susu;Susu;;Susu;;;;;;;;;x
d_susu_adj;Sussan;Sussan;Sussanische;;Sussan;;;;;;;;;x
d_diafanu;Diafanu;Diafanu;Diafanu;;Diafanu;;;;;;;;;x
d_diafanu_adj;Diafnan;Diafnan;Diafnanische;;Diafnan;;;;;;;;;x
d_jeno;Jeno;Jeno;Jeno;;Jeno;;;;;;;;;x
d_jeno_adj;Jennan;Jennan;Jennanische;;Jennan;;;;;;;;;x
d_songhai;Songhai;Songhai;Songhai;;Songhai;;;;;;;;;x
d_songhai_adj;Songhai;Songhai;Songhische;;Songhai;;;;;;;;;x
d_wagadou;Kumbee-Tenga;Kumbee-Tenga;Kumbee-Tenga;;Kumbee-Tenga;;;;;;;;;x
d_wagadou_adj;Kumbee-Tengan;Kumbee-Tengan;Kumbee-Tenganische;;Kumbee-Tengan;;;;;;;;;x
d_kangaba;Kangaba;Kangaba;Kangaba;;Kangaba;;;;;;;;;x
d_kangaba_adj;Kangaban;Kangaban;Kangabanische;;Kangaban;;;;;;;;;x
d_laayoune;Laayoune;Laayoune;Laayoune;;Laayoune;;;;;;;;;x
d_laayoune_adj;Laayounan;Laayounan;Laayounanische;;Laayounan;;;;;;;;;x
c_morfil_adj;Morfi;Morfi;Morfi;;Morfi;;;;;;;;;x
c_matam_adj;Matami;Matami;Matamiische;;Matami;;;;;;;;;x
c_gambia_adj;Ziguinchan;Ziguinchan;Ziguinchanische;;Ziguinchan;;;;;;;;;x
c_tabacounda_adj;Tabacoundan;Tabacoundan;Tabacoundan;;Tabacoundan;;;;;;;;;x
c_waalo_adj;Waalan;Waalan;Waalanische;;Waalan;;;;;;;;;x
c_cayor_adj;Cayoran;Cayoran;Cayoran;;Cayoran;;;;;;;;;x
c_linguere_adj;Lingueran;Lingueran;Lingueranische;;Lingueran;;;;;;;;;x
c_saloum_adj;Salouman;Salouman;Saloumanische;;Salouman;;;;;;;;;x
c_baol_adj;Baoli;Baoli;Baolische;;Baoli;;;;;;;;;x
c_taghaza_adj;Araouani;Araouani;Araouanische;;Araouani;;;;;;;;;x
c_kirina_adj;Soumpi;Soumpi;Soumpische;;Soumpi;;;;;;;;;x
c_araouane_adj;Niono;Niono;Nionische;;Niono;;;;;;;;;x
c_aoudagast_adj;Aoudaghosti;Aoudaghostische;Aoudaghosti;;Aoudaghosti;;;;;;;;;x
c_oualata_adj;Oualatan;Oualatan;Oualatanische;;Oualatan;;;;;;;;;x
c_koumbi_saleh_adj;Koumbi;Koumbi;Koumbische;;Koumbi;;;;;;;;;x
c_djenne_adj;Djenni;Djenni;Djennische;;Djenni;;;;;;;;;x
c_sama_adj;Bamako;Bamako;Bamakische;;Bamako;;;;;;;;;x
